task,true_label,pred_label,confidence
CognitiveLevel,Knowledge,Analysis,0.6773357
PurposeContext,Information Gathering,Problem solving,0.6771688
CognitiveLevel,Knowledge,Understanding,0.672403
QuestionType,Factual,Non-Factual,0.6702611
QuestionType,Factual,Non-Factual,0.6674564
List,Single,List,0.66739655
List,Single,List,0.66725296
List,Single,List,0.66564304
QuestionType,Non-Factual,Factual,0.6650608
AnswerType,Description,Entity,0.66331273
CognitiveLevel,Knowledge,Understanding,0.6626912
QuestionType,Factual,Non-Factual,0.66201186
QuestionType,Factual,Non-Factual,0.6608044
List,Single,List,0.658323
AnswerType,Description,Number,0.6570012
QuestionType,Factual,Non-Factual,0.6565171
CognitiveLevel,Knowledge,Understanding,0.65651
CognitiveLevel,Knowledge,Analysis,0.65464044
Subjectivity,Objective,Subjective,0.65419716
PurposeContext,Information Gathering,Decision Making,0.6535379
Intent,Informational,Definition,0.65302753
PurposeContext,Information Gathering,Decision Making,0.6516788
Subjectivity,Objective,Subjective,0.6497852
PurposeContext,Information Gathering,Decision Making,0.6465121
QuestionParticleType,Interrogative Tool,Implied,0.64296246
QuestionParticleType,Interrogative Tool,Implied,0.642166
Subjectivity,Objective,Subjective,0.64212275
Subjectivity,Objective,Subjective,0.6390413
QuestionType,Non-Factual,Factual,0.6382146
QuestionParticleType,Interrogative Tool,Implied,0.6365983
QuestionParticleType,Interrogative Tool,Implied,0.63638115
Intent,Informational,Explanation,0.63573986
Subjectivity,Objective,Subjective,0.6354626
Subjectivity,Objective,Subjective,0.63507694
List,Single,List,0.63419574
QuestionType,Factual,Non-Factual,0.63046557
QuestionType,Factual,Non-Factual,0.6304132
List,Single,List,0.6299529
Subjectivity,Objective,Subjective,0.62936205
CognitiveLevel,Understanding,Analysis,0.6292447
QuestionType,Factual,Non-Factual,0.6273879
List,Single,List,0.6273698
QuestionType,Factual,Non-Factual,0.62697244
QuestionType,Factual,Non-Factual,0.6260951
QuestionParticleType,Interrogative Tool,Implied,0.6256921
QuestionType,Factual,Non-Factual,0.62530315
Intent,Informational,Suggestion,0.62489283
CognitiveLevel,Knowledge,Understanding,0.62484044
AnswerType,Description,Entity,0.6241328
List,Single,List,0.62377137
CognitiveLevel,Knowledge,Understanding,0.6236742
List,Single,List,0.6236675
QuestionParticleType,Interrogative Tool,Implied,0.62307084
AnswerType,Description,Animate,0.621052
QuestionParticleType,Interrogative Tool,Implied,0.6186628
QuestionParticleType,Interrogative Tool,Implied,0.6183719
Subjectivity,Objective,Subjective,0.61759245
QuestionType,Factual,Non-Factual,0.6163413
QuestionParticleType,Interrogative Tool,Implied,0.6158093
QuestionType,Factual,Non-Factual,0.614738
QuestionType,Factual,Non-Factual,0.61459714
TemporalContext,Not Time-Related,Present,0.6145333
QuestionType,Factual,Non-Factual,0.6140648
List,Single,List,0.6135352
List,Single,List,0.61341715
QuestionParticleType,Interrogative Tool,Implied,0.61182857
Subjectivity,Objective,Subjective,0.6102526
List,Single,List,0.6093747
List,Single,List,0.6085854
Subjectivity,Objective,Subjective,0.60849124
QuestionType,Factual,Non-Factual,0.60844904
QuestionType,Factual,Non-Factual,0.60730195
CognitiveLevel,Knowledge,Understanding,0.607195
TemporalContext,Present,Future,0.60689574
QuestionParticleType,Interrogative Tool,Implied,0.6067347
Subjectivity,Objective,Subjective,0.60366535
CognitiveLevel,Knowledge,Understanding,0.60302126
TemporalContext,Present,Past,0.6023671
CognitiveLevel,Understanding,Analysis,0.6021407
List,Single,List,0.6009365
QuestionType,Factual,Non-Factual,0.59982216
QuestionType,Factual,Non-Factual,0.59905964
List,Single,List,0.5969807
TemporalContext,Not Time-Related,Present,0.59578615
CognitiveLevel,Analysis,Understanding,0.59541965
CognitiveLevel,Application,Understanding,0.5951781
PurposeContext,Information Gathering,Decision Making,0.59479475
AnswerType,Description,Entity,0.59390754
QuestionParticleType,Interrogative Tool,Implied,0.5936093
List,Single,List,0.5926431
Subjectivity,Objective,Subjective,0.59187067
TemporalContext,Specific time,Past,0.5917966
List,Single,List,0.58947885
PurposeContext,Information Gathering,Decision Making,0.5888737
Subjectivity,Objective,Subjective,0.5886738
QuestionParticleType,Interrogative Tool,Implied,0.5884794
QuestionType,Factual,Non-Factual,0.58756983
TemporalContext,Present,Past,0.5864974
List,Single,List,0.58549553
Subjectivity,Objective,Subjective,0.5854521
List,Single,List,0.5839347
TemporalContext,Present,Not Time-Related,0.58375835
CognitiveLevel,Analysis,Understanding,0.58262557
List,Single,List,0.58217305
Subjectivity,Objective,Subjective,0.57979053
List,Single,List,0.5795563
CognitiveLevel,Understanding,Knowledge,0.57922184
Intent,Definition,Informational,0.57864153
Subjectivity,Objective,Subjective,0.57624274
List,Single,List,0.5758592
PurposeContext,Information Gathering,Decision Making,0.5748398
QuestionType,Factual,Non-Factual,0.57198817
Subjectivity,Objective,Subjective,0.57183903
Subjectivity,Objective,Subjective,0.5717283
CognitiveLevel,Knowledge,Understanding,0.5713273
List,Single,List,0.57068443
QuestionType,Factual,Non-Factual,0.57053024
Subjectivity,Objective,Subjective,0.5703252
QuestionType,Factual,Non-Factual,0.56997013
List,Single,List,0.5698667
QuestionType,Factual,Non-Factual,0.5698064
Subjectivity,Objective,Subjective,0.56859434
CognitiveLevel,Analysis,Understanding,0.5679113
TemporalContext,Not Time-Related,Past,0.5672598
QuestionType,Factual,Non-Factual,0.56602514
QuestionParticleType,Interrogative Tool,Implied,0.5658563
QuestionType,Factual,Non-Factual,0.5648801
Subjectivity,Objective,Subjective,0.56448114
QuestionType,Factual,Non-Factual,0.56440985
QuestionType,Factual,Non-Factual,0.5617006
Subjectivity,Objective,Subjective,0.5614003
List,Single,List,0.56126946
List,Single,List,0.5610414
QuestionType,Factual,Non-Factual,0.5606176
QuestionType,Factual,Non-Factual,0.5606176
TemporalContext,Not Time-Related,Present,0.56050485
List,Single,List,0.5590531
CognitiveLevel,Understanding,Analysis,0.5575767
CognitiveLevel,Analysis,Understanding,0.5554764
QuestionType,Factual,Non-Factual,0.55543536
Subjectivity,Objective,Subjective,0.5541992
AnswerType,Description,Entity,0.5536588
CognitiveLevel,Analysis,Understanding,0.5529298
QuestionType,Factual,Non-Factual,0.5521923
Subjectivity,Objective,Subjective,0.55210257
QuestionType,Factual,Non-Factual,0.5519467
List,Single,List,0.55173457
List,Single,List,0.5514431
CognitiveLevel,Analysis,Understanding,0.5507659
Subjectivity,Objective,Subjective,0.5505026
QuestionType,Factual,Non-Factual,0.5496375
CognitiveLevel,Knowledge,Understanding,0.549299
Subjectivity,Objective,Subjective,0.54674363
Subjectivity,Objective,Subjective,0.546366
List,Single,List,0.54626334
CognitiveLevel,Knowledge,Understanding,0.5462314
TemporalContext,Not Time-Related,Present,0.5462003
Subjectivity,Objective,Subjective,0.5457058
QuestionType,Factual,Non-Factual,0.5448106
Subjectivity,Objective,Subjective,0.54469746
List,Single,List,0.544309
QuestionType,Factual,Non-Factual,0.5439897
List,Single,List,0.5437022
QuestionType,Factual,Non-Factual,0.5429043
QuestionParticleType,Interrogative Tool,Implied,0.54265183
AnswerType,Description,Entity,0.541999
CognitiveLevel,Analysis,Understanding,0.5416018
QuestionType,Factual,Non-Factual,0.541331
Intent,Informational,Inference,0.5410187
List,Single,List,0.54048204
Subjectivity,Objective,Subjective,0.54039085
QuestionType,Factual,Non-Factual,0.5392042
Subjectivity,Objective,Subjective,0.5386223
QuestionType,Factual,Non-Factual,0.53855187
QuestionType,Factual,Non-Factual,0.5384176
CognitiveLevel,Understanding,Knowledge,0.538247
Subjectivity,Objective,Subjective,0.53802013
QuestionType,Factual,Non-Factual,0.5371383
CognitiveLevel,Knowledge,Understanding,0.53629
QuestionType,Factual,Non-Factual,0.5360526
QuestionType,Factual,Non-Factual,0.5358151
Subjectivity,Objective,Subjective,0.5357824
Subjectivity,Objective,Subjective,0.5352448
Subjectivity,Objective,Subjective,0.53457475
Subjectivity,Objective,Subjective,0.5343473
List,Single,List,0.534317
TemporalContext,Present,Not Time-Related,0.53410864
QuestionType,Factual,Non-Factual,0.5340275
QuestionType,Factual,Non-Factual,0.5339572
QuestionType,Factual,Non-Factual,0.53390515
Subjectivity,Objective,Subjective,0.5337738
List,Single,List,0.53372353
QuestionType,Factual,Non-Factual,0.5336003
List,Single,List,0.5335286
Subjectivity,Objective,Subjective,0.5329234
TemporalContext,Not Time-Related,Present,0.53188217
QuestionType,Factual,Non-Factual,0.5309595
QuestionType,Factual,Non-Factual,0.5309409
List,Single,List,0.5307859
PurposeContext,Information Gathering,Decision Making,0.5302726
List,Single,List,0.5296087
QuestionType,Factual,Non-Factual,0.5291892
Subjectivity,Objective,Subjective,0.5255669
AnswerType,Description,Present,0.5253636
CognitiveLevel,Analysis,Application,0.525346
QuestionParticleType,Interrogative Tool,Implied,0.5242081
QuestionType,Factual,Non-Factual,0.5240953
QuestionType,Non-Factual,Factual,0.5240862
CognitiveLevel,Analysis,Understanding,0.5235825
QuestionType,Non-Factual,Factual,0.52274835
TemporalContext,Not Time-Related,Past,0.52265036
CognitiveLevel,Analysis,Understanding,0.5225903
List,Single,List,0.5225758
CognitiveLevel,Analysis,Understanding,0.52139235
CognitiveLevel,Knowledge,Understanding,0.52124894
Subjectivity,Objective,Subjective,0.52121025
Subjectivity,Objective,Subjective,0.5200965
Subjectivity,Objective,Subjective,0.5200694
CognitiveLevel,Application,Knowledge,0.5196842
QuestionType,Factual,Non-Factual,0.51831216
List,Single,List,0.5176993
Subjectivity,Objective,Subjective,0.51755
PurposeContext,Decision Making,Information Gathering,0.5169994
List,Single,List,0.516181
Subjectivity,Objective,Subjective,0.5158443
CognitiveLevel,Understanding,Analysis,0.5157548
List,Single,List,0.5152638
Subjectivity,Objective,Subjective,0.5136955
AnswerType,Description,Number,0.5135981
CognitiveLevel,Analysis,Understanding,0.51293707
Intent,Definition,Informational,0.51207966
List,Single,List,0.51174104
QuestionType,Non-Factual,Factual,0.5116086
Subjectivity,Objective,Subjective,0.51159257
Subjectivity,Objective,Subjective,0.5110676
QuestionType,Factual,Non-Factual,0.51094973
List,Single,List,0.510706
Subjectivity,Objective,Subjective,0.5106996
QuestionType,Factual,Non-Factual,0.5104554
QuestionType,Factual,Non-Factual,0.510098
List,Single,List,0.5093163
TemporalContext,Not Time-Related,Future,0.50923294
Subjectivity,Objective,Subjective,0.5089492
List,Single,List,0.5087022
QuestionType,Factual,Non-Factual,0.5081047
Subjectivity,Objective,Subjective,0.5080706
QuestionType,Factual,Non-Factual,0.5079539
List,Single,List,0.50753134
PurposeContext,Information Gathering,Decision Making,0.5070062
QuestionType,Factual,Non-Factual,0.50655097
QuestionType,Factual,Non-Factual,0.5052436
QuestionType,Factual,Non-Factual,0.5049366
QuestionType,Factual,Non-Factual,0.5046697
QuestionType,Factual,Non-Factual,0.5045416
CognitiveLevel,Analysis,Understanding,0.50415057
QuestionType,Factual,Non-Factual,0.50350237
PurposeContext,Information Gathering,Decision Making,0.5034042
List,Single,List,0.50339866
QuestionParticleType,Interrogative Tool,Implied,0.5029764
Subjectivity,Objective,Subjective,0.50227123
CognitiveLevel,Evaluation,Analysis,0.50226486
Subjectivity,Objective,Subjective,0.50197333
Subjectivity,Objective,Subjective,0.5018451
List,Single,List,0.5012903
CognitiveLevel,Understanding,Analysis,0.5011617
List,Single,List,0.5006814
Subjectivity,Objective,Subjective,0.50040925
QuestionType,Factual,Non-Factual,0.5000245
QuestionParticleType,Interrogative Tool,Implied,0.49755877
PurposeContext,Information Gathering,Decision Making,0.4963139
AnswerType,Historical,Time_Adverb,0.4954712
Intent,Informational,Definition,0.48939013
AnswerType,Description,Animate,0.48931682
PurposeContext,Information Gathering,Decision Making,0.48842087
TemporalContext,Not Time-Related,Present,0.48601848
Intent,Informational,Calculation,0.48513708
CognitiveLevel,Analysis,Understanding,0.4841289
TemporalContext,Not Time-Related,Present,0.48349464
TemporalContext,Present,Not Time-Related,0.48188552
CognitiveLevel,Knowledge,Application,0.48110464
AnswerType,Description,Entity,0.4765744
PurposeContext,Information Gathering,Decision Making,0.4750566
CognitiveLevel,Understanding,Analysis,0.47503155
TemporalContext,Present,Not Time-Related,0.47474623
CognitiveLevel,Understanding,Analysis,0.47456604
PurposeContext,Information Gathering,Decision Making,0.47408918
CognitiveLevel,Understanding,Analysis,0.47368622
PurposeContext,Information Gathering,Social interaction,0.47227815
QuestionParticleType,Interrogative Tool,Implied,0.46859616
QuestionParticleType,Interrogative Tool,Implied,0.46779978
CognitiveLevel,Application,Understanding,0.46734807
QuestionParticleType,Interrogative Tool,Implied,0.4656835
PurposeContext,Information Gathering,Social interaction,0.46562403
QuestionParticleType,Interrogative Tool,Implied,0.46487558
PurposeContext,Information Gathering,Decision Making,0.4640572
QuestionParticleType,Interrogative Tool,Implied,0.4640408
CognitiveLevel,Analysis,Understanding,0.46061146
QuestionParticleType,Interrogative Tool,Implied,0.4599648
PurposeContext,Information Gathering,Decision Making,0.45957944
PurposeContext,Information Gathering,Decision Making,0.4594912
QuestionParticleType,Interrogative Tool,Implied,0.45790195
CognitiveLevel,Understanding,Analysis,0.4574866
QuestionParticleType,Interrogative Tool,Implied,0.45719656
PurposeContext,Information Gathering,Problem solving,0.45703587
TemporalContext,Not Time-Related,Present,0.45675963
CognitiveLevel,Knowledge,Understanding,0.45660946
QuestionParticleType,Interrogative Tool,Implied,0.45525852
CognitiveLevel,Understanding,Analysis,0.4546253
AnswerType,Description,Time_Adverb,0.45256987
PurposeContext,Information Gathering,Decision Making,0.4500668
CognitiveLevel,Understanding,Analysis,0.44974855
TemporalContext,Present,Not Time-Related,0.4487673
PurposeContext,Information Gathering,Decision Making,0.44828767
QuestionParticleType,Interrogative Tool,Implied,0.44824424
TemporalContext,Not Time-Related,Future,0.44615
TemporalContext,Not Time-Related,Future,0.44562352
AnswerType,Description,Entity,0.44212556
TemporalContext,Not Time-Related,Present,0.44148004
TemporalContext,Present,Not Time-Related,0.4410642
TemporalContext,Not Time-Related,Present,0.43953112
CognitiveLevel,Application,Analysis,0.43813276
PurposeContext,Information Gathering,Decision Making,0.43785274
PurposeContext,Information Gathering,Problem solving,0.437642
AnswerType,Description,Entity,0.43741864
CognitiveLevel,Application,Knowledge,0.4352808
CognitiveLevel,Analysis,Understanding,0.4351996
AnswerType,Description,Entity,0.43479145
TemporalContext,Present,Not Time-Related,0.43412334
TemporalContext,Present,Not Time-Related,0.43379715
TemporalContext,Not Time-Related,Present,0.43355733
AnswerType,Description,Entity,0.43270242
QuestionParticleType,Interrogative Tool,Implied,0.43214658
CognitiveLevel,Knowledge,Analysis,0.42921802
CognitiveLevel,Knowledge,Analysis,0.42826745
Intent,Explanation,Informational,0.42698556
PurposeContext,Information Gathering,Decision Making,0.42591763
TemporalContext,Present,Not Time-Related,0.42311522
PurposeContext,Information Gathering,Decision Making,0.42165446
CognitiveLevel,Knowledge,Understanding,0.41878268
AnswerType,Description,Entity,0.41280228
AnswerType,Number,Quantity,0.41185722
PurposeContext,Information Gathering,Problem solving,0.4105555
AnswerType,Entity,Description,0.41029614
TemporalContext,Not Time-Related,Present,0.40978584
TemporalContext,Not Time-Related,Specific time,0.40848568
CognitiveLevel,Analysis,Understanding,0.408242
CognitiveLevel,Knowledge,Understanding,0.40744555
Intent,Definition,Explanation,0.4071941
TemporalContext,Not Time-Related,Present,0.4066174
PurposeContext,Information Gathering,Decision Making,0.4062375
CognitiveLevel,Knowledge,Analysis,0.40484387
AnswerType,Description,Entity,0.40240207
CognitiveLevel,Analysis,Understanding,0.399908
PurposeContext,Information Gathering,Social interaction,0.39971927
TemporalContext,Not Time-Related,Present,0.3995034
PurposeContext,Information Gathering,Decision Making,0.3987552
TemporalContext,Not Time-Related,Present,0.3985929
TemporalContext,Future,Not Time-Related,0.3979494
TemporalContext,Present,Not Time-Related,0.39269486
CognitiveLevel,Knowledge,Analysis,0.39128125
TemporalContext,Not Time-Related,Present,0.3905236
CognitiveLevel,Understanding,Knowledge,0.38838512
TemporalContext,Present,Not Time-Related,0.3877151
AnswerType,Present,Description,0.38719374
AnswerType,Present,Description,0.38719374
TemporalContext,Present,Not Time-Related,0.38678047
PurposeContext,Information Gathering,Decision Making,0.38457012
TemporalContext,Not Time-Related,Present,0.3828833
TemporalContext,Not Time-Related,Present,0.38283792
Intent,Informational,Calculation,0.3807362
PurposeContext,Information Gathering,Decision Making,0.3794931
CognitiveLevel,Analysis,Understanding,0.37930077
TemporalContext,Present,Not Time-Related,0.37724766
TemporalContext,Not Time-Related,Future,0.3749972
CognitiveLevel,Knowledge,Understanding,0.37195507
PurposeContext,Information Gathering,Social interaction,0.37073085
PurposeContext,Information Gathering,Problem solving,0.370641
CognitiveLevel,Knowledge,Understanding,0.36816865
TemporalContext,Not Time-Related,Present,0.3621206
TemporalContext,Present,Not Time-Related,0.36106792
PurposeContext,Information Gathering,Problem solving,0.35956472
CognitiveLevel,Knowledge,Analysis,0.3578118
QuestionParticleType,Interrogative Tool,Imperative verb,0.35696554
TemporalContext,Present,Not Time-Related,0.3560618
TemporalContext,Not Time-Related,Present,0.35372114
PurposeContext,Information Gathering,Problem solving,0.3534289
PurposeContext,Problem solving,Information Gathering,0.352871
AnswerType,Description,Time_Adverb,0.3527194
TemporalContext,Not Time-Related,Future,0.34996817
PurposeContext,Information Gathering,Problem solving,0.34895977
PurposeContext,Information Gathering,Decision Making,0.3465582
TemporalContext,Not Time-Related,Present,0.34604737
CognitiveLevel,Understanding,Analysis,0.34532803
AnswerType,Description,Entity,0.34519735
TemporalContext,Not Time-Related,Present,0.34319395
Intent,Informational,Suggestion,0.34005058
TemporalContext,Present,Not Time-Related,0.3394526
TemporalContext,Present,Not Time-Related,0.33739957
TemporalContext,Present,Not Time-Related,0.334288
TemporalContext,Not Time-Related,Present,0.33387217
TemporalContext,Not Time-Related,Present,0.3332316
CognitiveLevel,Analysis,Application,0.3330354
PurposeContext,Information Gathering,Problem solving,0.32825133
TemporalContext,Present,Not Time-Related,0.32763955
CognitiveLevel,Knowledge,Analysis,0.32743576
TemporalContext,Present,Not Time-Related,0.32603404
TemporalContext,Present,Not Time-Related,0.32529083
TemporalContext,Present,Not Time-Related,0.32428038
TemporalContext,Present,Not Time-Related,0.32360914
TemporalContext,Not Time-Related,Future,0.32081562
TemporalContext,Not Time-Related,Present,0.31901
PurposeContext,Information Gathering,Social interaction,0.31784806
AnswerType,Description,Quantity,0.3095343
CognitiveLevel,Knowledge,Analysis,0.30623135
AnswerType,Description,Time_Adverb,0.2983585
CognitiveLevel,Analysis,Knowledge,0.29785874
TemporalContext,Not Time-Related,Future,0.29219317
CognitiveLevel,Knowledge,Evaluation,0.28946334
CognitiveLevel,Analysis,Knowledge,0.28746825
AnswerType,Description,Entity,0.2868546
AnswerType,Description,Quantity,0.28477108
Intent,Informational,Suggestion,0.2757521
AnswerType,Number,Animate,0.26965386
AnswerType,Description,Quantity,0.2682801
AnswerType,Description,Entity,0.26565832
Intent,Informational,Prediction,0.2581579
Intent,Informational,Explanation,0.2573285
AnswerType,Description,Reason,0.2551986
CognitiveLevel,Knowledge,Synthesis,0.25472468
AnswerType,Description,Time_Adverb,0.253974
Intent,Explanation,Inference,0.2461656
AnswerType,Description,Historical,0.2388174
Intent,Informational,Opinion,0.23857734
Intent,Informational,Comparison,0.23743995
AnswerType,Description,Time_Adverb,0.23376332
AnswerType,Description,Present,0.23125777
Intent,Informational,Inference,0.23044135
AnswerType,Description,Time_Adverb,0.2290547
AnswerType,Description,Time_Adverb,0.22478299
AnswerType,Entity,Animate,0.22394852
Intent,Informational,Suggestion,0.2225924
AnswerType,Description,Historical,0.21221304
AnswerType,Description,Time_Adverb,0.19623487
AnswerType,Description,Quantity,0.19587734
AnswerType,Description,Time_Adverb,0.1902615
AnswerType,Description,Animate,0.1871822
